review,sentiment,,,
I am not happy with the bank services.31:142,0,,,
The customer service is poor.,0,,,
"I am having a credit card with SCB from last 1 year, the credit card services are comparatively good than other cards. They did not charge any annual fee at the time of getting this card and i get sms alerts on offers. I am happy with the credit limit in this credit card.",1,,,
Paytm provides good services when compared to all other sources in the market. I get a cash back offers on recharges and bill payments. I am using this service from last 2 years. I did not face any transaction issues with paytm and the mobile application is user friendly to use.,1,,,
"I have my car insured with ICICI lombard from last 7 years, my claim experience was not up to the mark with this car insurance policy as they covered only bumper to bumper damage. I got a coverage value of Rs 2000 for this claim experience. I pay a premium of Rs 6000 for this insurance.",0,,,
I have a life insurance policy with LIC from last 20 years and it is a money back policy. The tenure of this life insurance policy is 16 years. I pay my premium once in a year through net banking and the payment options are convenient for me. I am happy with the coverage value of this policy.,1,,,
I use the KOTAK MAHINDRA BANK Savings Account for more than 2 years . The customer support service is good with the KOTAK MAHINDRA BANK and thy give good response to the customers. The net banking service is excellent with the KOTAK MAHINDRA BANK. ,1,,,
The Axis bank credit card service is good and I have got the Axis bank buzz credit card around 3 months ago. the customer support service and the response is good with the axis bank. The credit limit value is good with this Axis bank buzz credit card and I am satisfied with it.,1,,,
"The benefits and the offers are better with the ICICI bank coral visa credit card . I have got this credit card very recently. I use this ICICI bank coral visa credit card very rarely and the credit limit value is average with this card still , they need to increase the credit limit value.",0,,,
"Got the Indus ind bank aura credit card around 4 months ago. The customer support service is good with the Indus ind bank. They give good response to the customers. The credit limit value is low with this card and still they need to increase the credit limit value,",0,,,
The bank bazaar service is good and I have got the credit card within the promised via bank bazaar. I use the bank bazaar mobile application which is easy to use and user friendly. The customer support service and the responsiveness is prompt with the bank bazaar.,1,,,
"I am using PayTM services for payments, recharges and transactions, I find it useful and the process is very easy. As a financial tool I find it very user friendly and can be used anywhere, and their app is also very user friendly where you get all the necessary functions.",1,,,
"I am holding a savings account from Icici bank, I am not truly satisfied with the bank as their banking operations are not up to the mark. Their customer service is also not easily available, their banking system needs to improve a lot.",0,,,
"I am holding a salaried account with Hdfc bank, the services and benefits are good with them bank, the transactions are very smooth and their operating system is also good. If I have any queries the resolution is provided to that, I am happy with their services.",1,,,
"I am happy with the services the bank bazaar has provided to me. The products were available readily, it was easy to choose among the other products as you can distinct them from each other. I was getting some offers such as Amazon voucher along with the products, so it was good.",1,,,
"I am using Standard Chartered Bank Credit Card, it's a good card with a lifetime free offer, I am happy with the benefits and features of the card. I have no issues with their services as it has been good, they operate very good, and I am satisfied.",1,,,
"I am not happy with the credit card I am holding from Icici Bank, the customer service the bank is providing is not so good, and if I have any issues the customer service is not easily accessible. So on this point they need to make some improvements.",0,,,
"I have got the Life insurance policy from the HDFC life and the policy has good plan benefits and better policy coverage. The customer support service is good with the HDFC bank. This policy has the tenure of 8years. I need to pay the premium amount of Rs,5150 to this policy .",1,,,
I have been SALARIED with YES for a long time. The online net banking is good with YES bank compared to other banks in the market. The customer support with YES bank. YES also provide me with good offers and benefits. It is a good experience with YES bank savings account service.,1,,,
"I have got the child plan around 6 years ago. The customer support service and the response is good with the LIC. The plan benefits and the coverage is good with the LIC child plan policy. This policy has the tenure of 15years, this policy will get matured in 15 years.",1,,,
Holding the money back life insurance policy around 19 years ago. The customer support service and the response is good with the LIC and I pay the premium through ECS mode .The premium amount of Rs.150 per month I pay the premium. I get the money back in every 6years once.,1,,,
I have been banking with STANDARD for a long time. The online net banking is good with STANDARD bank compared to other banks in the market. The customer support with STANDARD bank. STANDARD also provide me with good offers and benefits. It is a good experi,1,,,
"I've been using the BankBazaar.com platform for almost 8 months and its a great platform to compare various financial products. Their Customer support is good and the website is also user friendly, I'm yet to receive my Amazon.com gift voucher",1,,,
Got the Jeevan anand Life insurance policy around 18yearsa ago. The customer support service and the response is good with the LIC and they give good support to the customers. The tenure of this policy is for 13 years and this policy is yet mature.,1,,,
"Hdfc bank has offered me the personal loan around 4 months ago,. The customer support service and the response is good with the HDFC bank . I have got the loan amount within a week time. The required loan amount has been given and I am satisfied with it.",1,,,
The Atm centers are nearby my location for my Icici savings account service. The online net banking is easy to use and user friendly. Transaction will be fast with Icici bank. I use to visit the branch directly it was good and staffs are friendly. It is a excellent experience with Icici savings account service.,1,,,
"Got the personal loan from the RBL around 4 months ago. The customer support service and the response is good with the RBL and they have delivered the loan amount with in a month time. They have offered me the loan amount of Rs,1,65,000 but I have applied for the loan amount of Rs,6,00,000 .",0,,,
The personal loan service is good with the capital first and they have disbursed the loan amount within 15 days of time. The customer support service and the response was good with he capital first. They have approved the lowest loan amount and I haven't got the expected loan,0,,,
"I've been using the Andhra Bank savings account for a while Improved very much, the mobile app easy is rally great and the Office staff is also very helpful. However their services needs to be improved. The online banking facility is also good.",0,,,
I have the salaried account from the Bank of Baroda for the past 8years. The customer support service and the response is good with the bank of Baroda because they give good response and support to the customers. The net banking and the mobile application service is good with the bank of Baroda.,1,,,
It was been recently for the past three months I have been using the credit card with RBL The credit limit is less but I am expecting more. The offers and benefits are good with RBL credit card service. The customer service is prompt with RBL credit card service.,0,,,
"I have the yes bank credit card for the past 2 months. I use this card for gold purchases , shopping, online purchases, home appliances and for other usages. The credit limit value is good with this card and I am not satisfied with it, it would be good if they can increase the credit limit value.",0,,,
I use the Indus ind bank platinum credit card for the past Two months. The credit card service is good with the Indus ind bank and they give good response to the customers. The credit limit value is good with this card and I am satisfied with it..,1,,,
"I've been using the SBI SimplyClick Credit card for the past 7 moths. I'm getting reward points and it is easy to redeem the reward points as well, They also have many cash back offers. Overall the card is good for online shopping and other payments.",1,,,
"I have started using the State bank of India Simply save credit card recently, The credit limit value is good with this card and I am satisfied with it. The rate of interest and the charges are average with the state bank simply save credit card.",1,,,
I feel the limit of KOTAK credit service is little high compared to others in the market. The customer support was not as I expected from KOTAK credit card service. The offers and benefits are nominal with KOTAK credit card service. The service of KOTAK credit card service is not as I expected with KOTAK credit card team.,0,,,
"I have got very good service from the bank bazaar team, I have got good response from the bank bazaar and they are very good in explaining the products in a brief way, The communication part is excellent with the bank bazaar team and I am satisfied with their service.",1,,,
"I've been using the HDFC TItanium Times Credit Card, they offer regular discounts at Flipkart, Amazon and Instant CashBack offers are also there. This card is very useful for booking movie tickets as it offers 25% off on tickets booked via BookmyShow.",1,,,
I bought the Citi rewards card last month. I'm happy about thye have a low rate of interest for the EMI. I selected Citi because of their GoodWill one of my friend recommend to go with Citi which was the main reason for choosing Citi Rewards Card. They need to come up with more offers like other providers already in the market.,0,,,
The credit card service was good with the HDFC bank and I have got the Hdfc bank Diners rewardz credit card within 1 week time. The customer support service and the response is good with the HDFC bank and they give good response to the customers.,1,,,
Got the personal loan from the HDFC BANK around 2 years ago. The customer support service is good with the HDFC bank and they have disbursed the loan amount within a week time after the verification process. The required loan amount has been given and I am satisfied with it.,1,,,
"I use PayTM mainly for mobile recharges, their platform is good and their customer support is also good. PayTM is also a great platform to pay the bills, shopping and booking movie tickets. The website is easy to use and my overall experience was good.",1,,,
I get benefits like rewards point and the cash back offers with the help of Citi Rewards credit card and I use this card for more than a year. The customer support service and the response is god with the Citibank and they give good response to the customers.,1,,,
The bank bazaar service is good and I know about bank bazaar for more than 6 months. The customer support service is good with the bank bazaar team. They give good response to the customers who are applying for any financial products. I use the bank bazaar mobile application which is easy to use .,1,,,
"The documents were collected on time by the HDFC bank with in the time , to process the credit card application and I have got the HDFC BANK DINERS REWARDZ CREDIT CARD within a week time. The customer support service is good with the HDFC bank and they give good response to the customers.",1,,,
"I use the paytm application for the past 1 year, most of the merchants are not using it. I use this paytm mobile application for fuel ,bill payments, online orders and for other usages. It is easy to use the paytm mobile application 0ver all it is used for all kind of usages.",1,,,
KOTAK credit card service is good. But the charges are high with KOTAK. Once I filled fuel for rupees 200 they charged extra for it. The credit limit is less compared to other credit service providers in the market. I expected 1 to 1.5 lakhs but they offered me around 50k. I am n,0,,,
The rate of Interest and charges was been nominal compared to others in the market. The offers and benefits are good with Icici. The credit limit is comfortable for me. The customer support was been prompt. It was a good experience with Icici credit card department.,1,,,
Indusind credit card service is good. The credit limit is 50k they offered me but I expected 1 lakh. The documents procedure was been smooth. The customer support was been smooth. It was an good experience with Indusind credit card service.,0,,,
I applied for the CITI CASHBACK CARD in march 2018 and I'm happy with the credit limit they offered me. I applied for the card online and the application process was easy and hassle free. I'm happy with the features the card offer. I make online payments.,1,,,
I have been using Platinum credit card with Sbi. The offers and benefits are good with Sbi platinum card. The customer support was been prompt with Sbi. The rate of interest and charges was been nominal with Sbi credit card service. It was an good experience with Sbi platinum credit card service.,1,,,
I have a credit card with Citi. The service was good with Citi credit card service. The offers and cash backs are good with Citi Credit card team. The credit limit is also sufficient for me. It was totally a excellent service from Citi Credit card service.,1,,,
"The offers and benefits are good with Hdfc credit service ,they provide me offers with bookmyshow. The customer support is prompt with Hdfc. The credit limit is comfortable for me.,it was totally a good experience with Hdfc credit card department.",1,,,
"The BANK OF INDIA has offered me the loan on time, they have delivered the required loan amount and I am satisfied with it. The customer support service and the response is good with the BANK OF INDIA and I am satisfied with the interest rate which they have offered was very low when compared with other banks.",1,,,
"Citibank personal loan service has high interest rate. The customer support service is good with the Citibank. The rate of interest and the charges are high with the Citibank personal loan process , it would be good if they can reduce the interest rate.",0,,,
I apply through Bankbazaar.com website which is easy for navigation with lot of good options. The customer support is prompt with Bankbazaar.com. It was been recently I came to know about the service of Bankbazaar.com. It was an excellent experience with Bankbazaar.com.,1,,,
"The STANDARD CHARTERED BANK has offered me the personal loan and I have got it within a week time. The rate of interest and the charges are average with the STANDARD CHARTERED BANK personal loan process, I would say I am satisfied with the service I got.",1,,,
It was an good experience with Hsbc credit card service. The credit limit is not sufficient for me with Hsbc. The documents process was been smooth with Hsbc credit service. It was an good service from Hsbc credit service. The customer support is good as well.,1,,,
The ICICI bank personal loan service is good and I have got the personal loan from the the ICICI bank within the time frame. The customer support service is good with the ICICI bank and they give good response to the customers . The rate of interest and the charges are average here.,1,,,
Axis bank has delivered the required loan amount and I have got the personal loan from the Axis bank within in the time frame. The axis bank has given the average interest rate in regards to my personal loan process and I am satisfied with their service.,1,,,
"In a week time , I have got the personal loan from the HDFC bank, The customer support service is good with the HDFC bank. The required loan amount has been given and I am satisfied with it. The rate of interest and the charges are average with the HDFC bank.",1,,,
"I use PayTM payments at the Supermarkets to purchase day to day stuffs. I also use PayTM to book Flight Tickets and Movie Tickets. I also use PayTM to recharge. I use their Mobile App, however their customer support is bad. I had issues with the replacement when PayTM sent me a faulty item.",0,,,
BankBazaar.com is a great Platform to compare and choose various financial products. You can also check your Credit Score for free. I got my Amazon gift voucher with the credit card and the overall shopping experience was smooth and hassle free.,1,,,
I have been using the Hdfc savings account. The online net banking is easy for navigation. I owns the Hdfc bank savings account for the past ten years. The customer support was been prompt with Hdfc bank savings account service. It was an excellent experience with Hdfc bank savings account service.,1,,,
"I am not using my HSBC credit card much, still It was been a good experience with HSBC credit card service. The customer support is prompt with HSBC credit card service. I use to receive some good offers and cash backs. The online net banking is easy to use with lot of good option",1,,,
"I've been using the IndianOil Citi Platinum card for an year. The Reward Points can be en cashed for petrol, which is an excellent feature. Their customer support is also fast and their responses were also prompt. This card takes care of all my day to due fuel expenses.",1,,,
I have been using Icici credit card for the past four months. The customer support is prompt with Icici credit card service. The credit limit was also good with Icici credit card service. It was an good experience with Icici credit card service.,1,,,
"Since for the past 7 years using Idbi savings account and I use the net banking service from IDBI which is good to use but their mobile application is not up to the mark from the IDBI bank , which need to be upgraded. The customer support service and the response is good with the IDBI bank.",0,,,
Started using the AXIS BANK salaried account for more than 10 years. The banking service is good with the Axis bank and I use the net banking service and the mobile application both are easy to use and user friendly. The customer support service is good with the AXIS BANK.,1,,,
State Bank Of India credit card service is good. I have been using my Sbi credit card for the past four months. The customer support is prompt with Sbi. The rate of interest and charges is fine with Sbi. It was an good experience with Sbi credit card service.,1,,,
I've bought the INDUSIND BANK PLATINUM AURA EDGE CREDIT CARD on March. I'm a frequent flier and I found the VISA Airport lounge access very interesting but they don't provide the international lounge access which is a drawback. Overall I'm happy with the features they provide.,1,,,
I am using the RBL Titanium delight credit card for the past one and I would say it is a good card to use . The credit limit value is good with this RBL Titanium delight credit card and i am satisfied with it. The customer support service and the response is average here.,0,,,
I hold a credit card with ICICI bank and i have received reward points and cash back with the card. I have requested to increase the limit but till now the have not increased the limit. I am not using any application with the card. There is no annual charge with the card.,0,,,
I hold a zero balance savings account with State bank of India. They do have charges for IMPS and NEFT with SBI. I am not using any application with them.The customer service is fine. I not checked for the interest for the savings account.,1,,,
